comment,list of emojis,sentiment ranking
لا يمكن الرجوع  للحجر الصحي الناس  واصلا نالعضام اوربا  كخلصوا  الناس  حتى ادا جلسوا  عندم ماياكلوا  و يشربوا  حنى ماموقدنشي بهم  خلوهم  يخدموا  على راسوم  هادشي  ماشي معقول  الناس علاين  ياكلوا  بعضم,0,0
المهم هو نتبعو ماما فرنسا وصافي ...تدريجيا ولا ماشي تدريجيا,0,0
Lah y3tihom 3adab hta nti m3ahom wch hena 9olnalom ysn3ona had virus Kona haniyn m9atlin m3a wa9et zydin tkmlo elina lah yghabrlkom che9af glasin katdhko elina rah 3i9ena bihm,0,0
الا لا ماراغبين ما طالبين خلي اخباراتك الزينة عندك,0,0
فرنسا السابقون ونحن اللاحقون 🧐,0,0
واش بغاو ناس تموت اتقاو الله وراعين ناس كلتها,0,0
بلا الحجر الصحي خصنا الدعم حيت حالتنا ما عالم بيها غير الله.,0,0
اختي بغا يدير لحجر تطريق فيروس او يكملوا بحال فرنسا او يعطيوا ناس باش يعيشوا ناس متضرؤين بزاف ماش مول شركه يدخل زباله لفلوس عل ضهر مسكين لي ملاقا مياكل يسدوا احنا ندماشي ضد ولكن يفكروا فناس درواش الله الوطن المللك,0,0
9rite hibapress bila raydiro lhajer chamile mn losbo3 jaya awch bsah svp jawbiniii,0,0
باينة لي دارتها ماما فرانسا خاص يديرها ولدها المغرب ☺️ المغرب داير بحال لي ففلم ولد مو,0,0
dkhli vhofo hdchi kml kdob,0,0
ختي بقاي دخلي سوق راسك حنى رَاه كنعرفو جوج كلمات فرض الحجر الصحي ولا لا هاد دخول والخروج فالهضره مكاين لاش وبلا مديري فيها متحدث الرسمي بإسم الحكومه,0,0
يرجع الحجر الصحي او ميرجعس المهم خدمتي مغديش نحبسها او تخشات لينا في الاول دابة والله منتقولب,0,0
❤💖❤💖,0,0
Lache msa7tiiiii dakchiiii ki goleti f awel,0,0
لا قلتيها.قلتي وجدو راسكم للحجر الصحي،وخير دليل على هاد الكلام هوا أنكي مسحتي البوستات لي تكلمتي فيهوم على الحجر الصحي,0,0
وصلك الصهد ديال فبركة الاخبار و بديتي تلصقي ف بنادم بلي هو لي ما كيفهمش، تخافي ما تحشميش,0,0
Iwa nati lirawjti lhad akhbar galti wajdo ryoskom,0,0
"Faut bien savoir la source de l’information avant de la diffuser sur les réseaux sociaux !!!
Voir tes articles avant de poster l’information au public.",0,0
دوله رمات طعم لكن شافت ردت فعل غير متوقعه وأصبحت تكذب الأخبار 😎,0,0
هل أنتم مستعدون إستعداد😂,0,0
سامحيني الأخت بشرى غادي اكون حجر قهري ماشي صحي ماشاءالله الله يدير تاويل ديال الخير,0,0
,0,0
اذا كنتي اختي بشرى كتبغي رسول . اقرئي ماذا يقول ونتعلم من أخلاقه صل الله عليه وسلم . وسمحيلي اختي على هذا الكلام,0,0
لم يحتفل الرسول صلوات ربي وسلامه عليه يوما ما بنفسه أو أمر باحتفال بمولده,0,0
Trop belle machaella💓🌹,0,0
عليه افضل الصلاة والسلام كل عام وانتي بألف خير,0,0
أهلا وسهلا بكم في صفحتي و مرحبا بكم جميعا بدون استثناء🇦🇪🇩🇿🇲🇦,0,0
النبي متبرئ من بحالك الزين,0,0
اللهم صل وسلم وبارك على سيدنا محمد وعلى آله وصحبه أجمعين عدد خلقك ورضا نفسك و زينة عرشك مداد كلماتك,0,0
الزين مبارك عليك اتحاف والزين,0,0
سلوكنا و اخلاقنا تجاه الاخر كيفما كان دينه ،افضل رد لمن يسئ برسولنا ، فافعالهم لن تنقص من حبنا له شيئا، #ابدعوا في حب رسول الله يا شباب امته,0,0
Sala llaho alayhi wa Salim,0,0
❤️❤️😍,0,0
Bouchra bouilla jadida,0,0
غيبتي,0,0
❤️,0,0
o_s4s_m اول شي ما يصير تحتفلي  بهذي المناسبة لان هذي بدعة ولم يفعلها لا رسول الله ولا الصحابة ثاني شي اصلا ما ورد ولم يثبت ان الرسول محمد ولد بهذا اليوم ثالث شي الرسول بريء منك ومن شكلك لانك من الكاسيات العاريات الي ذكرهم 😒👌🏻,0,0
دايرة  كيجن,0,0
جاية متبرجة على نتي مسلمة تعرفي شي رسول الله يمسخك,0,0
دائما متألقة عيد مبارك 😍😍 #الارسول_الله,0,0
@bouchra_ddeau اللهم صلي على سيدنا محمد صلى الله عليه و سلم و اللهم انصر الإسلام و المسلمين,0,0
😍دمتي فخرا للمغرب عزيزتي😍❤️,0,0
Mouldek mabrouk nshalah kol 3am b khir,0,0
الحمد لله ديننا و نبينا لا يحتاج للإحتفال،لا للبدع في الدين،الحمد لله ديننا الإسلام مكتمل ولله الحمد لا زيادة ولا نقصان،هل إحتفلت عائشة رضي الله عنها بذكراه،هل حتفل الخلفاء الراشدون ألو بكر و عمر و عثمان و علي رضي الله عنهم،لا لم يحتفلو،كيف نحتفل بذكرى نبينا و نحن لا نعلم متى ولد صلى الله عليه وسلم،لم يحدد يوم ولادته عليه أفضل الصلاة والسلام،منهم من قال في رمضان و منهم مو قال في ربيع الأول،يوجد اختلاف كبير بين أهل العلم في ولادته صلى الله عليه وسلم،الحمد لله،الأعياد اللتي سنه الله إلينا لا خلاف فيها،يجب عليك معرفة من وراء هاذا الإحتفال...فهو بدعة منكرى.,0,0
واش ذكرى المولد.  ام ذكرى الله يرحمها وضحي.  السوره لا تعبر عن ذكرى سيد الخلق 🙏,0,0
أعاد الله عليكم باليمن والبركة,0,0
هادو االي كتيقولو الاحتفال بدعة عقلو عليهوم بزاف . حتى ميلاد سيدنا عيسى رأس السنة غادي إرسلو ليكم bonne féte 2021,0,0
💜💜💜💜💜,0,0
اصلا ابشري مابقيتيش كيف. كنتي كنتي معا الشعب اكتحاولي توصلي ليه الافكار الصحيحة اما مؤخرا وليتي معا الحكوما اكتوصلي افكارهم هما لي ولاو كيعطيوك بطريقة فنية المهم نصيحة من خت الختها سيري تراجعي من هاد العالم الملوث الطريق المستقيم لي ينفعك فالاخرة ديالك والله يهدينا جميعا ويعفو علينا ياربي انتحابو الله ماشي فالمصالح الشخصيه,0,0
هههه على الاقل كنت تستري مرة وحدة فحياتك احتفالا بنية الذي فرض الله على ازواجه الحجاب.الحب ياتي بالتبعية وليس بالمخالفة.والتبرج سفور ومخالفة لهدي حبيبنا رسول الله صلى الله عليه وسلم.على اي عسى الله يقبل احتفالك هذا ويبارك لك فيه بهداية وبصيرة ان شاء الله,0,0
ذكرى مولد طيبة، الصراحة عزازيتي عليا دخلتي لقلوب المغاربة بالتواضع و العمل، عرفتي منين تنقول للدار شي معلومة مثلا انت قلتيها و يشكوني فيها تنقليهوم ميمكنش تكون غالطة بشرى الضو تتجيب داكشي صحيح مئة بالمئة..واحد المرة شي اربع سنوات شفتك فكافي فأكدال  و بقات الصورة مطبوعة كون مكنتش واقفة فالفروج كن يمكن هضرت معاك ز لكن فداك الوقت مكنتيش تتباني متواضعة هاكا..انت من النوع لي تيهضر و لا تيميك؟,0,0
B9ay diri bhal had mkp bla matktri lhnakk jak top,0,0
اللهم صل وسلم وبارك على سيدنا محمد وعلى آله وصحبه أجمعين,0,0
تابعوني بليييييييز,0,0
@ghaidaelorabi مبغيتش نخوض فهاد النقاشات ولكن مثبتش على نبينا عليه الصلاة والسلام احتفل بعيد ميلادو واي حاحة مكايناش فالسنة فهي بدعة.هذي اولا ثانيا كولشي شاك فنهار تزاد بالضبط ولكن كولشب عارف نهار مات والنهار لي كتحتافلو بيه هو نهار فاش مات واش كتحتافلو بموتو ولا بحياتو وواخا نكونو عارفين بلي هو نهار المولد ديالو كيبقى السؤال واش كتحتافل بموتو ولا حياتو عليه ازكى الصلاة واطهر التسليم.ثالثا واش حتى كيجي داك النهار عاد كتفكروه وتحتافلو بيه وتسميوه عيد. الى اه راكم ضالمين راسكم محيت مخصنناش نساوه حتى نهار بالذكر ولا لا راه خاصنا نتفكروه دائما وابدا باتباع سنته والحفاض عليها بابي انت وامي يا رسول الله ا,0,0
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0,0
Satri chwia rask 3ad hadri 3la الله الرسول محمد صلى عليه وسلم,0,0
🔥🙌😢❤️😮👏😂😍,0,0
❤️,0,0
صلى الله عليه و سلم❤️,0,0
,0,0
Très  belle,0,0
Salut cava ??,0,0
😍😍😍😍,0,0
Belle femme machaallah,0,0
@bouchra_ddeau Lma3na ha9i9i dyal titiza o msatya a khti howa nti 😂,0,0
😍😍,0,0
😍❤️,0,0
ماشاء الله تبارك الله,0,0
👌🏻,0,0
تيقناك بلا ما تحلفي,0,0
https://m.facebook.com/106222617952521,0,0
اكتر مكياج جاك زويييييين,0,0
دوزتي نهار ف صوفيتال خرجتيها منهم تصاور,0,0
Ghezla tbrklah,0,0
Momkin tele,0,0
Tro de Maquiage ma chéri,0,0
هادي فين كانت غابرة واش مشات لعند مارلين مونرو بغات تمشي نفس الخطوات whatever u do. u will never be tge same. up level,0,0
Momkin tele Bach nat3arfo ktar,0,0
❤️,0,0
😍,0,0
ما هو السر وراء الوردة الحمراء,0,0
اشكون هده المونيكة,0,0
Jiti fenna,0,0
ماذا تعني هذه الإشارة ؟,0,0
ماسونية 😳😳😳,0,0
Rah 7ram li kydir  haka👌🏻,0,0
الغزالة والفنة حفظك الله ورعاك ولعائلتك الكريمة,0,0
تبارك الله عليك يا بشرى.ربي يفرحك و يسعدك و يعطيك ما تمنيتي في خاطرك إن شاء الله,0,0
zyaniiiiiiiti,0,0
👏🔥👏😢😍,0,0
بشرى البوقوسة ❤️❤️❤️❤️راك فنيونة,0,0
😍😍😍😍😍🔥🔥🔥🔥🔥🔥,0,0
تابعوني بليييز,0,0
ما فيك حتى خطأ اللفعة الكرطيطة ،٠٠،٠٠،٠٠😄😄,0,0
❤️❤️❤️❤️❤️❤️❤️❤️,0,0
علاش دايرة رمز الماسونية بيديك @bouchra_ddeau ???????,0,0
مبروك الزواج  كل السعادة والهنا ويستهل نوفل كل خير,0,0
Li zyn zyan bla sbagha,0,0
Cute ❤️😘,0,0
Bello vestido y mujer🌼🌼🌼🌼🌼🌼,0,0
,0,0
جيتي فنة تبارك الله بهاد الستيل,0,0
Jitii toppp et kyout😍😍😍 ma chérie😘,0,0
❤️🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️😍😍,0,0
زيانيتي يا لحلوفة😍😍😍,0,0
😍😍😍😍😍😍🌷🌷🌷,0,0
Nice smil,0,0
دخلتك مجهدة الله يحفضك ماشاء الله تبارك الرحمن 🌸🌸🌸🌸🌸,0,0
الله يكفيك شر عيون خلقه يابشرىٰ الضو ويحميك ويحفظك يارب 🤲🏻,0,0
الضو شعل ياختي😘😘,0,0
Jamila Bazafallah saves you,0,0
عندما يجتمع العقل و الجمال❤,0,0
@ilborhane la coiffure😍,0,0
"27/10/2020
تعبت من تبادل الاشتراكات والتواصل مع أشخاص لا تعرفهم 😓😓😓😓
تسعى لتحقيق  شروط اليوتيوب بأقصى وقت ممكن 🧭🧭🧭
قناتك متفعلة💲💲💲 وتسعى الى الحصول على الأرباح💲💲 التي قد تصل الى 100 دولار💲💲 شهريا عن طريق مشاهدات حقيقية وبطرق شرعية و قانونية بالكامل💯💯💯
♦️موقع دليلك شاهد♦️ أول وأقدم موقع عالميا 
يشرف عليه نخبة من🤵 اليوتيوبرية🤵 والبرامجة🕵️‍♂️ والمتخصصون🧙‍♂️ الذين يقدمون لك تحقيق الالاف المشتركين وتحقيق شرط 4000. ساعة في ظرف وجيز جدا 
كل ماعليك فقط  الولوج الى هذا الرابط سيقودك الى التلجرام  وستعرف طريقة العمل وكل التفاصيل هناك 🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️
👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻
https://t.me/joinchat/IBcyrReMlfsk68L_MtBMIQ",0,0
عنداكي ترجعي موضيل و تنسايناا 😭😭😭😭,0,0
أحلى بشرى ضو 😘😘😘,0,0
اوييييلييي اشهااااد زييييينننن ياربييي❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️,0,0
ياختي على زين ربي يحفظك من كل شر,0,0
Mashaallah ♥️♥️,0,0
Très Attirante 🔥🔥,0,0
البنات لي بغات نسجلها معايا في ماي واي ولا تسخر تمان ناقص على الكتالوج 25%  مراحبة هادا الكود ديالي 12007639,0,0
تييييتيزة,0,0
إيه حلاوة ذي يا عسل ههه💞,0,0
❤️,0,0
اختي بشرى دوما متألقة,0,0
@zizoshadow,0,0
@alimessak,0,0
تابعوني على انستغرام ديلي lati4240,0,0
🌷🌷🌷,0,0
Nti mzawja ola nom à bouchra mmkin tjawbini ?,0,0
هاد الخرية هادي تفووو💩💩💩💩,0,0
Lfeeena❤️😍,0,0
وفين الماسك,0,0
بغيت غي نفهم واش انتي صحافية ولا فيفي عبدو طون ديال الماكياج تقولك فسواري هادشي مبلدن,0,0
نتي عييقتي كاع... نموذج امرأة طائشة لا واعية,0,0
Jiti zwina 😍,0,0
Ach had l3ra lah yne3l li may7chm l3wacher hadu,0,0
ستري راسك,0,0
Hachmi w satri rask w khafi llah ...nsara kaysalmo w ylabso lbas mastor w ntoma moslimat 3atyanha l3ra...makatkhafoch mn llah ?? Makatkhafich tjik lmot f dik la7da w nti chibh 3aryana ?? Ta9aw llah ra hd virus kayn ghi b sbab katrat lfasad,0,0
😍😍😍😍😍😍😍😍❤️,0,0
ستري راسك الموت كدور👏👏👏,0,0
,0,0
ترامب لي غادي يفوز بلولاية ثانية ، ماغديش يكملها😉,0,0
"السلام عليكم ورحمه الله وبركاته اخواني نحن لدينا عمل خيري  و هو تجهيز بعض المؤسسات الخيرية و المدارس بمكتبات .
كل من لديه كتب جديدة أو قديمة يريد التبرع بها المرجو التواصل عبر الخاص و شكرا",0,0
هههههه تاواحد فيهم ماغايربح بقاو تما بت نبت,0,0
شكرا على التوضيح 👍👍👍,0,0
حسيت براسي مكلخة في هاد فديو حيت عاودتو جوج مرات مافهمت والو او ربما الشرح ديالك ناقصو شي حاجة,0,0
Kayn,0,0
Naaadi,0,0
بايدن 👌,0,0
كنظن جوج ولايات بلانهم بوحدو كيتفرقو فيها هاذ المقاعد على الحزبين بجوج,0,0
@houssnaaaa,0,0
Joe biden,0,0
@uasi1kama150,0,0
رحم الله من رباك  و علمك ❤️ مزيدا من العطاء لما فيه خير,0,0
خويا مصطفى ماكرهناك دير لنا شي فيديو كايشرح طريقه الانتخاب في ميريك,0,0
"لبنات  لباغا  تزيد متابعين على انستغرام تتواصل مع هذ الادمينة

‏‪+212 632‑137263‬",0,0
يقدر يفوز  الحزب الاقل مقاعد في المجلس .بي الرئاسة  احياننا,0,0
يا ديها كاملة يا خليها 😂😂,0,0
Waaaw ma tat hemni ta 9alwa sorry,0,0
🙌🙌🙌👏👏👏👏,0,0
تقول ماما ضيفو بنتي,0,0
Trump غادي اديها,0,0
Sara7a had lvideo nadi 👍🔥,0,0
👏👏👏,0,0
ترامب 😧😧😧,0,0
Tramp,0,0
@mustapha_swinga  ممكن تعطينا الإيم ديال لوجيسيال لكتخدم بيه هاد لكاركاتور,0,0
وجهان لعملة واحدة و يجوجهم غير ديكور تا واحد فيهم ما كيحكم .. على الأقل ترامب واضح و خارج ليها نيشان ماشي بحال الديمقراطيين,0,0
@khaoula_bellamine 🙂👍🏻,0,0
باينة واش ترامب لي غيديها,0,0
C’est Trump qui va gagné,0,0
Trump,0,0
وحنا مالنا شنو غا استفدو من هده انتخابات تا قلوة,0,0
فعلا وفيتي شكرا على الشرح,0,0
#ensam_est_plus_q_un_nom,0,0
@mustapha_swinga Trump is going to cause he hasn't finished what he started (Projects),0,0
🙌Tooop bon courage,0,0
جو بايدن,0,0
@nisrine.nisrine.218,0,0
@mustapha_swinga  مالك ما هدرتي على الاساتذة المتعاقدين لي تعرضو لجميع انواع العنف من عند القوى القمعية را طاغيتك في السطوري و شفتيه  ماشي فعايل السوينكا,0,0
@mustapha_swinga  واش ممكن يعاود يترشح ترامب لولاية 2025 متلا,0,0
,0,0
علاش مدويتيش على إهانة الرسول صلى الله عليه وسلم,0,0
عواظ ما تبقى تقلب و تشقلب على فيلم بسواايع😪😪 دير فولوا ووبرع رااسك و اختصر الوقت 🔥🎬,0,0
😍خدمة نقية,0,0
اللهم صل على سيدنا محمد ❤️🙌 #مقاطعون_لأجل_كرامتنا,0,0
https://youtu.be/-cK9-Vk03ZU,0,0
https://youtu.be/-cK9-Vk03ZU,0,0
❤️❤️,0,0
❤️❤️,0,0
Tbarklah 3lih lma3na lha9i9i dial l3azima touksser lfashal 9ilat saber douniya :lkhajal mena nafss wa nass ...... tbarklah 3lik tanta bikom knw3aw @mustapha_swinga,0,0
وا المؤثرين الزوينين اللي فيهم الضو هظرو شجعوا الناس باش يقاطعوا المنتجات الفرنسية، راه كلشي زائل إذا كنتو كتآمنو بالآخرة، ساهلة شجعوا الناس يقاطعوا إذا الحكام ديالنا مداروش ردة فعل على الأقل منكونوش بحالهم، كنظهر مع المسلمين اللي ملحد يدير راسو مقراش,0,0
‏سلام سي مصطفى ‏أشك تقول على مكرون و ‏كلامو على رسول الله صلى الله عليه وسلم,0,0
https://www.instagram.com/p/CG1c9aMFXWU/?igshid=14jrt8y6layag,0,0
"في ظل تقرير الكثير من مؤسسات التعليم العالي لنظام التعليم الحضوري تتساءل مجموعة  من الطلبة متى ستنظر الوزارة المكلفة في مشكل سكن الطلبة بعد أن تقرر استمرار إغلاق الأحياء الجامعية بوجه الطلبة المغاربة مع عدم أخذ الوضعية الإقتصادية للطلبة بعين الإعتبار الشيء الذي سيترتب عنه انقطاع و تغيب العديد من الطلبة عن الحصص الحضورية لعدم قدرتهم على توفير سكن...مع العلم أن بعض الأحياء الجامعية مفتوحة في وجه الطلبة الأجانب و كذلك بعض الإقامات الخاصة التي منحت إذن استقبال الطلبة ...
#فتح_الأحياء_الجامعية_ضرورة_ملحة",0,0
"في ظل تقرير الكثير من مؤسسات التعليم العالي لنظام التعليم الحضوري تتساءل مجموعة  من الطلبة متى ستنظر الوزارة المكلفة في مشكل سكن الطلبة بعد أن تقرر استمرار إغلاق الأحياء الجامعية بوجه الطلبة المغاربة مع عدم أخذ الوضعية الإقتصادية للطلبة بعين الإعتبار الشيء الذي سيترتب عنه انقطاع و تغيب العديد من الطلبة عن الحصص الحضورية لعدم قدرتهم على توفير سكن...مع العلم أن بعض الأحياء الجامعية مفتوحة في وجه الطلبة الأجانب و كذلك بعض الإقامات الخاصة التي منحت إذن استقبال الطلبة ...
#فتح_الأحياء_الجامعية_ضرورة_ملحة",0,0
Je kiffe 👏,0,0
باصطوف الله احفظك شي حلقة من أجي تفهم على قضية الصحراء المغربية راه بزاااااف دالمغاربة غير تيقولو الصحراء مغربية بلا معلومات لي تقوي موقفهم الى درتي شي حلقة فهد الموضوع غتكون قدمتي لبلادنا واحد الخدمة كبيييييرة @mustapha_swinga,0,0
Waw,0,0
ايش هذي قصه ولا خرا كبيره,0,0
هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💗😢,0,0
https://www.youtube.com/channel/UCuzPIIvbt2ExSu8e2kZfqzA chi abonner alkhot❤️,0,0
قصة رائعة وبرنامج جد هادف شكرا لك على كل مجهوداتك 🙏🏻🙏🏻🙏🏻,0,0
💢💢💢فقدتي الأمل فالحياة مشاتلك العدرية ديالك خرجتي من ثاني ابتدائي دوزتي الحبس طحتي من سما متي غرقتي ... ماعليك غير تقصد لباج ديالنا فوج على راسك دائم الله 😂💥 هادشي كامل باش نكول ليك شوف سطوري أو الفيديو لي طاح ليك ف بالك غادي تلقاه عدنا  أو فرحنا ب أبوني ما غادي تخسر والو 🔥❤️💯💥😂🤦🏻‍♂️,0,0
بغيناك دير لينا شي فيديو 🎥كتشرش فيه  نداول لفوريكس,0,0
@mustapha_swinga  pm plz,0,0
💜💜💜,0,0
تابعوني من أجل زيادة متابعيكم,0,0
https://youtu.be/NKmEJH6HrZc,0,0
👍👍👍👍,0,0
مشاااء الله👍👍,0,0
تبارك الله عليك و فقك الله لما يحبه و يرضاه,0,0
مكملتيش لينا,0,0
سلام كاين الدوار خصهم لما الا كاين شي محسن امشي عندهم احفر لهم شي بير في سبيل الله اولا شي جمعية كادير بحال هاد الخير كايجمعو فالمساهمات ولكن داكشي للي جمعو قليل غير لبير خصها ستة مليون من غير لبومبا اوتيو اوطاقات لكايعرف شي حد تايدير هاد الصدقة الجارية الله اجازيه بخير وشكرا,0,0
سلام كاين الدوار خصهم لما الا كاين شي محسن امشي عندهم احفر لهم شي بير في سبيل الله اولا شي جمعية كادير بحال هاد الخير كايجمعو فالمساهمات ولكن داكشي للي جمعو قليل غير لبير خصها ستة مليون من غير لبومبا اوتيو اوطاقات لكايعرف شي حد تايدير هاد الصدقة الجارية الله اجازيه بخير وشكرا,0,0
👍👍👍👍,0,0
حلقة واعرة و قصة ملهمة و موؤثرة....برافو @mustapha_swinga .... برافو كتر لرشيد تيزي نوشك على المثابرة ديالو....كيفما قلتي غير عالم على قدو هاد السيد المحترم,0,0
https://www.youtube.com/channel/UCJ3Ff3FvTkBq45f7FDj0ADA,0,0
,0,0
"بشعار ""تا نوض راقب ولادك "" الذين أفسدتهم منابر الإعلام الهاوي و التكنولوجيا الغير مقننة ..",0,0
لو ممكن تشجعني انا اليوم فتحت صفة نخصصها لي الوصفات المغربية البسيطة لو ممكن تشجيع و سمحولي,0,0
"عبرة لأولي الألباب 
https://youtu.be/JpM9-0KfRGs",0,0
عمل جد رائع❤️,0,0
فكرة رائعة، النقص حاصل حتى في مجال التربية من أجل الصحة. ونحن معك. التجربة الأولى التي قمنا بها خلال هذه الجائحة كانت لابأس بها. 👍🏻,0,0
Iwa twakal 3la lah i dir chi serie dyl (rosom) tkon zwina mn l afkar dyalk bach nl9aw fach itfrjo wladna ❤️ inshaalah,0,0
tbark lah 3likom khouya mustapha khadma mat9oona,0,0
أعجبت كثيرا بهذه المبادرة وهذا العمل والمحتوى الجميل الهادف. أنا وصديقتي من تونس نتشارك معكم هذه الفكرة. نحتاج فعلا محتوى للأطفال خاصة في المغرب العربي.. هذه واحدة محاولاتنا المتواضعة على الساوندكلاود لمست أطفال أقربائنا وأصدقائنا ونطمح للأفضل بإذن الله. أهنئكم بهذا الانتاج الطيب آملين أن نترك أثرا يحمل قيمنا وأخلاقنا والكثير من الرسائل الطيبة  للأجيال القادمة بإذن ربي ❤️ https://soundcloud.app.goo.gl/XPRC,0,0
كون غير غالب الشباب كيفكروا بطريقتك 💚,0,0
"هنا يمكنك البوح بكل ما تريد ، دون أن  تزعجك نظرات الآخرين 🗨
 
هنا يمكنك البوح بسر أو مشكل لتعرف أراء ونصائج الاخرين، دون أن يعرف أحد اسمك 🗣",0,0
Good work ❤️💫,0,0
@nouhaila_zouitine,0,0
@adnane_zineb7,0,0
@zineb_zahiir,0,0
@zineb_benjeloune,0,0
@_monali_zaa,0,0
@ayoub__benn_,0,0
@karmimed,0,0
صراحة معجبنيش وجاني محتوى ديجا مستهلك ماكاينش الجديد فالموضوع,0,0
Je vous encourage à réaliser du contenu pour enfant. A titre d'exemple les miens trouvent leur intérêt dans des vidéos qui sont loins de notre réalité. J'imagine aussi que ce type de contenu nécessite beaucoup de créativité et de pédagogie. Vu votre expérience et votre dévouement j'ai confiance que vous aller réussir à produire de très belles choses. Nous comptons sur vous👍,0,0
عبرة - النسخة الأمازيغية - https://youtu.be/coa4EYAGhDc,0,0
❤️الله يوفق و الله يجعلها صدقة جارية,0,0
عفكم  ألخوت دخلو  دعمونا الله  يخليلكوم الواليدين @al_montakhab,0,0
عمل رائع جدا واصلو وفقكم الله 💪💪,0,0
قصة واعرة بزااااف،أخي مصطفى كنتمى تجاوبني أنا عندي شغف كبير نتعلم نعدل الرسوم المتحركة باي برنامج تقدر تنصحني وشكرا، تقدر انت تكون سبب في بدايتي الله اوفقك,0,0
أخي مصطفى جاوبني ف الخاص الله احفظك,0,0
سير على الله أخويا مصطفى أولادنا فأمس الحاجة لهاد المبادرات الله إوفق,0,0
👏🙌,0,0
براڤو 👏❤️❤️,0,0
👏👏❤️❤️,0,0
https://www.instagram.com/art__zaw/,0,0
5atir ki dima,0,0
https://www.instagram.com/p/CG1c9aMFXWU/?igshid=14jrt8y6layag @zdmmvart,0,0
هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💗😢,0,0
حتى انا درت هاد الفيديو بصوتي لكن حتى واحد ماتفاعل معايا للأسف 😔,0,0
https://youtu.be/s8eWwd5f5kE,0,0
ياريت ماكرهناش شي محتوى نقي لاطفالنا  و تكون قصص دينية بطريقة بسيطة 👍👍,0,0
ماشاء الله..عمل متميز بكل المقاييس... ويستحق الثناء والتقدير...تبارك الله عليك وعلى الطاقم ديالك,0,0
https://www.youtube.com/channel/UCJ3Ff3FvTkBq45f7FDj0ADA,0,0
خاي مصطفى صيفطت ليك فالخاص طلب طلع قناة ديالي ضرب طليلة وكولي رايك والى عجباتك طلعها ليا فشي سطوري,0,0
,0,0
Mérité 👌👌,0,0
😍😍,0,0
بصاحتك خويا خدم بشرف ونزاهة عمرك تكون مرايقي  غتكون متل ف تاريخ ماشي بحال شي... الله ايسر لك ولي بغ لخير لشعب,0,0
Tstahl bro,0,0
🔥🔥😍😍❤️❤️,0,0
👏👏تستاهل,0,0
👏👏👏👏,0,0
❤️tstahl,0,0
Courage 😍😍,0,0
خويا مصطفى ما تكلمتيش على المغادرة الطوعية,0,0
هضر لين على الدعم لشي شدو الفنانة ديال الخرى وهضر لينا شوف خيخي وباسو مالك مخلوع هضر اصاحبي بغينا نفهمو ولا صافي اجي تفهم اسيدي بغيت نفهم يالاه بدا قول بسم الله,0,0
خويا مصطفى تتقدم محتوى هادف وفالمستوى، موفق إن شاء الله,0,0
Merci pour le courage que vous nous présentez. ❤️,0,0
تستاهل,0,0
خويا سوينغا معجبنيش الحال فسطوريات دياك أول مرة مكتخدمش الحياد و كدافع على المنحةبحال الفنانين بحال البرلمانيين لي كياكلو فلوس الشعب را تاهما فالأساس راهم مسيرين، خدمتهم يحافضو على توازن ديال البلاد واش غتقارن ليا حكومة مغربية مع حكومة أمريكية برمان مغربي مع الكونغرس ...انت درتي مقارنة بين سينما فيتانا بسنوات ضوئية  المشكل ماشي هو المنحة المشكل هو الوقت لي تعطات فيه المنحة و شنو أنواع الفن لتتستاهل المنحة راه نقدرو نلقاو زلايجية و نحاتين هدا هو الفن لي خاص يتعطاوه المنح حين فن مهمش,0,0
اافنانين كيدخلو زبالة الفلوس لأنه مجال فيه النشاط و الفلوس كثيرة,0,0
خويا مصطفى كاين شي خبار على امتى يفتحو القنصليات بالنسبة الناس لباغيا تخرج تسافر سياحة,0,0
باغي تشبع ضحك دخل للصفحة ديالنا,0,0
